SampleName,ExternalSampleName,SampleGroup,SampleReplicate,Dataset,Replicate_dataset,Lin
BSSE_QGF_164845,HD1_vehicule,vehicule,HD1,dpi4,HD1_dpi4,
BSSE_QGF_164846,HD1_BMS_10uM,BMS,HD1,dpi4,HD1_dpi4,
BSSE_QGF_164847,HD1_BMS_KYNU_100uM,BMS_KYNU,HD1,dpi4,HD1_dpi4,
BSSE_QGF_164848,HD1_BMS_NaMN_500uM,BMS_NaMN,HD1,dpi4,HD1_dpi4,
BSSE_QGF_164849,HD2_vehicule,vehicule,HD2,dpi4,HD2_dpi4,
BSSE_QGF_164850,HD2_BMS_10uM,BMS,HD2,dpi4,HD2_dpi4,
BSSE_QGF_164851,HD2_BMS_KYNU_100uM,BMS_KYNU,HD2,dpi4,HD2_dpi4,
BSSE_QGF_164852,HD2_BMS_NaMN_500uM,BMS_NaMN,HD2,dpi4,HD2_dpi4,
BSSE_QGF_164853,HD3_vehicule,vehicule,HD3,dpi4,HD3_dpi4,
BSSE_QGF_164854,HD3_BMS_10uM,BMS,HD3,dpi4,HD3_dpi4,
BSSE_QGF_164855,HD3_BMS_KYNU_100uM,BMS_KYNU,HD3,dpi4,HD3_dpi4,
BSSE_QGF_164856,HD3_BMS_NaMN_500uM,BMS_NaMN,HD3,dpi4,HD3_dpi4,
BSSE_QGF_164857,HD4_vehicule,vehicule,HD4,dpi4,HD4_dpi4,
BSSE_QGF_164858,HD4_BMS_10uM,BMS,HD4,dpi4,HD4_dpi4,
BSSE_QGF_164859,HD4_BMS_KYNU_100uM,BMS_KYNU,HD4,dpi4,HD4_dpi4,
BSSE_QGF_164860,HD4_BMS_NaMN_500uM,BMS_NaMN,HD4,dpi4,HD4_dpi4,
BSSE_QGF_212833,EBV__0dpi__HD1,EBV__0dpi,HD1,dpi2,HD1_dpi2,
BSSE_QGF_212834,EBV__2dpi__HD1,EBV__2dpi,HD1,dpi2,HD1_dpi2,0
BSSE_QGF_212835,EBV-Lin__2dpi__HD1,EBV-Lin__2dpi,HD1,dpi2,HD1_dpi2,1
BSSE_QGF_212836,hiEBV__2dpi__HD1,hiEBV__2dpi,HD1,dpi2,HD1_dpi2,0
BSSE_QGF_212837,hiEBV-Lin__2dpi__HD1,hiEBV-Lin__2dpi,HD1,dpi2,HD1_dpi2,1
BSSE_QGF_212838,CPG__2dpi__HD1,CPG__2dpi,HD1,dpi2,HD1_dpi2,0
BSSE_QGF_212839,CPG-Lin__2dpi__HD1,CPG-Lin__2dpi,HD1,dpi2,HD1_dpi2,1
BSSE_QGF_212840,BCR__2dpi__HD1,BCR__2dpi,HD1,dpi2,HD1_dpi2,0
BSSE_QGF_212841,BCR-Lin__2dpi__HD1,BCR-Lin__2dpi,HD1,dpi2,HD1_dpi2,1
BSSE_QGF_212842,EBV__0dpi__HD2,EBV__0dpi,HD2,dpi2,HD2_dpi2,
BSSE_QGF_212843,EBV__2dpi__HD2,EBV__2dpi,HD2,dpi2,HD2_dpi2,0
